2023-12-22 14:18:10.495 [http-nio-8080-exec-2] INFO  fileLogger - ---------- @Before - Könyv mentésének kezdete ---------------
2023-12-22 14:18:10.496 [http-nio-8080-exec-2] INFO  fileLogger - Könyv létrhozása - paraméterei: [Cím - Harry Potter és a Bölcsek köve, Szerző - J. K. Rowling, Ár - 10000, Elérhető - false]'
2023-12-22 14:18:10.496 [http-nio-8080-exec-2] INFO  fileLogger - ---------- @Before Könyv mentésének vége -----------------
2023-12-22 14:18:50.884 [http-nio-8080-exec-5] ERROR fileLogger - [Hiba az 'available' mezőben. A mező nem lehet null., Hiba az 'price' mezőben. A mező nem lehet üres.]
2023-12-22 14:19:10.098 [http-nio-8080-exec-3] INFO  fileLogger - ---------- @Before - Könyv mentésének kezdete ---------------
2023-12-22 14:19:10.098 [http-nio-8080-exec-3] INFO  fileLogger - Könyv létrhozása - paraméterei: [Cím - Harry Potter és a Titkok Kamrája, Szerző - J. K. Rowling, Ár - 11000, Elérhető - true]'
2023-12-22 14:19:10.098 [http-nio-8080-exec-3] INFO  fileLogger - ---------- @Before Könyv mentésének vége -----------------
2023-12-22 14:19:38.967 [http-nio-8080-exec-4] INFO  fileLogger - ---------- @Before - Könyv mentésének kezdete ---------------
2023-12-22 14:19:38.967 [http-nio-8080-exec-4] INFO  fileLogger - Könyv létrhozása - paraméterei: [Cím - Harry Potter és a Titkok Kamrája, Szerző - J. K. Rowling, Ár - 11000, Elérhető - true]'
2023-12-22 14:19:38.967 [http-nio-8080-exec-4] INFO  fileLogger - ---------- @Before Könyv mentésének vége -----------------
2023-12-22 14:21:12.034 [http-nio-8080-exec-5] INFO  fileLogger - ---------- @Before - Könyv mentésének kezdete ---------------
2023-12-22 14:21:12.034 [http-nio-8080-exec-5] INFO  fileLogger - Könyv létrhozása - paraméterei: [Cím - Harry Potter és az azkabani fogoly, Szerző - J. K. Rowling, Ár - 12000, Elérhető - true]'
2023-12-22 14:21:12.034 [http-nio-8080-exec-5] INFO  fileLogger - ---------- @Before Könyv mentésének vége -----------------
